"0,5","29,14","29,96","35,93","30,53","30,62","31,83","32,23","51,58","54,36","55,85","57,45","50,05","69,9","51,58"
1,"31,92","32,84","38,88","33,45","33,57","35,36","35,32","53,44","56,93","58,75","60,45","51,77","79,4","53,44"
"1,5","34,14","35,1","41,85","35,74","35,86","37,91","37,79","55,31","59,48","61,7","63,46","53,52","88,88","55,31"
2,"36,33","37,37","44,82","38,07","38,19","40,1","40,27","57,17","62,07","64,6","66,46","55,24","98,38","57,17"
"2,5","38,55","39,65","47,76","40,38","40,53","42,84","42,67","59,03","64,64","67,52","69,48","56,96","107,88","59,03"
