Киев,1,Kiev
Одесса,1,Odessa
Черкассы,1,Cherkasy
Винница,1,Vinitsiya
Житомир,1,Jitomir
Черновцы,2,Chernivts
Ивано-Франковск,2,İvano Frankivsk
Львов,2,Lviv
Ужгород,2,Ujgorod
Луцк,2,Lutsk
Плане,2,Plane
Тернополь,2,Ternopl
Хмельницкий,2,Hmelnitskiy
